Job Title,Company Name,Job Tags,Salary Range,Date Posted,Location,Country,City,Job Category,Skills Found,Skills Count,All Skills List
Video Editor,Circle.so,"Design, Design, UI, UI, Video, Video",💰 Upgrade to Premium to see salary,2026-01-29T14:00:13+00:00,Remote,Remote,Remote,Design,None identified,0,
Regional Named Account Executive Pennsylvania,PointClickCare,"SaaS, SaaS, Recruiter, Recruiter, Support, Support",💰 Upgrade to Premium to see salary,2026-01-29T14:00:01+00:00,Remote or Mississauga,Remote or Mississauga,Multiple locations,Sales,R,1,R
Site Reliability Engineer II,Restaurant365,"SaaS, SaaS, System, System, Security, Security",💰 Upgrade to Premium to see salary,2026-01-29T13:00:10+00:00,Remote,Remote,Remote,DevOps,R,1,R
Virtual Assistant Social Media Management & Systems Support,Assist World,"Assistant, Assistant, Founder, Founder, Support, Support",💰 Upgrade to Premium to see salary,2026-01-29T13:00:03+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Sales Development Representative,CommonLit,"Teacher, Teacher, Students, Students, Support, Support",💰 Upgrade to Premium to see salary,2026-01-29T08:00:01+00:00,Remote,Remote,Remote,Sales,R,1,R
Bookkeeper,Distro,"Accounting, Accounting, Financial, Financial, Bank, Bank",💰 Upgrade to Premium to see salary,2026-01-29T00:00:19+00:00,"Medellín, Antioquia","Medellín, Antioquia",Multiple locations,Finance,None identified,0,
Personal Executive Virtual Assistant,Assist World,"Assistant, Assistant, Music, Music, Support, Support",💰 Upgrade to Premium to see salary,2026-01-29T00:00:01+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Request for Proposal Policy review on Brazil’s Vessel Data Reporting,Global Fishing Watch,"Management, Management, Legal, Legal, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-28T21:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,None identified,0,
Search Engine Optimisation Intern,Sprinto,"SaaS, SaaS, Security, Security, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T19:00:04+00:00,India,India,Multiple locations,Support,R,1,R
Senior Engineer Confluent Marketplace Partner Applied Solution,Confluent,"Design, Design, SaaS, SaaS, React, React",💰 Upgrade to Premium to see salary,2026-01-28T16:00:22+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,"R, React",2,R | React
Senior Product Designer Türkiye,JumpCloud,"Design, Design, React, React, Embedded, Embedded",💰 Upgrade to Premium to see salary,2026-01-28T15:00:02+00:00,"Ankara, Türkiye - Remote","Ankara, Türkiye - Remote",Multiple locations,Design,"R, React",2,R | React
Manager User Group Program 11132,"Coupa Software, Inc.","Manager, Manager, SaaS, SaaS, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T08:01:20+00:00,US Remote,Us,Remote,Support,R,1,R
Customer Success Manager Brazil,Zimperium,"Manager, Manager, System, System, Security, Security",💰 Upgrade to Premium to see salary,2026-01-28T08:01:02+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Security Engineer,OpenRouter,"Security, Security, Technical, Technical, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-28T08:00:56+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Developer Relations Lead,OpenRouter,"Developer, Developer, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T08:00:50+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Zora,ZORA,"Crypto, Crypto, System, System, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-28T01:00:33+00:00,New York City,New York City,Multiple locations,Other,R,1,R
Business Development Manager,Unlimit,"Manager, Manager, Crypto, Crypto, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T00:02:12+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,R,1,R
Regional Property Manager,The Scion Group,"Manager, Manager, Training, Training, Software, Software",💰 Upgrade to Premium to see salary,2026-01-28T00:01:58+00:00,Chicago,Chicago,Multiple locations,Data Science,R,1,R
Campaign Manager Demand Generation,Datacor,"Manager, Manager, Software, Software, Director, Director",💰 Upgrade to Premium to see salary,2026-01-28T00:01:47+00:00,"Remote, US",Us,Remote,Data Science,R,1,R
Director Project Management,EdReports,"Director, Director, Design, Design, Embedded, Embedded",💰 Upgrade to Premium to see salary,2026-01-28T00:01:37+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Account Executive,Eulerity,"SaaS, SaaS, Growth, Growth, Marketing, Marketing",💰 Upgrade to Premium to see salary,2026-01-28T00:01:27+00:00,Remote,Remote,Remote,Marketing,R,1,R
Product Designer Provider Experience,Octave,"Design, Design, System, System, Designer, Designer",💰 Upgrade to Premium to see salary,2026-01-28T00:01:17+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,R,1,R
Product Marketing Manager,Safe Security,"InfoSec, InfoSec, Manager, Manager, System, System",💰 Upgrade to Premium to see salary,2026-01-28T00:01:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Marketing,R,1,R
Salesforce System Administrator,inKind,"Salesforce, Salesforce, System, System, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-28T00:01:00+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Full Stack Developer,Patrick J McGovern Foundation,"Developer, Developer, Design, Design, React, React",💰 Upgrade to Premium to see salary,2026-01-28T00:00:49+00:00,Remote,Remote,Remote,Software Development,"R, React",2,R | React
Customer Success Manager,Salvo Health,"Manager, Manager, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T00:00:41+00:00,Remote,Remote,Remote,Support,R,1,R
Software Engineer Enterprise Readiness,Dagster Labs,"Software, Software, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-28T00:00:27+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Copywriter,Movement Strategy,"Copywriter, Copywriter, Music, Music, Executive, Executive",💰 Upgrade to Premium to see salary,2026-01-28T00:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Content Writing,R,1,R
Principal Software Architect,Toshiba Global Commerce Solutions,"Architect, Architect, Software, Software, Design, Design",💰 Upgrade to Premium to see salary,2026-01-27T21:00:05+00:00,"Seattle, WA","Seattle, WA",Multiple locations,Other,R,1,R
Platform & Enterprise Full Stack Sr Staff Software Engineer,BNSF Railway,"Other, Other, Design, Design, Train, Train",💰 $160k - $300k,2026-01-27T16:27:51+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Data Science,R,1,R
Platform & Enterprise Front End Sr Staff Software Engineer,BNSF Railway,"Other, Other, Design, Design, Train, Train",💰 $160k - $300k,2026-01-27T16:24:23+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Data Science,R,1,R
Enterprise Account Executive UK,SurePay,"Technical, Technical, Financial, Financial, Leader, Leader",💰 Upgrade to Premium to see salary,2026-01-27T16:00:57+00:00,United Kingdom,United Kingdom,Multiple locations,Sales,R,1,R
Fullstack Engineer II Tutor Platform,Khan Academy,"Tutor, Tutor, Teacher, Teacher, Students, Students",💰 Upgrade to Premium to see salary,2026-01-27T16:00:48+00:00,"Mountain View, CA","Mountain View, CA",Multiple locations,Other,R,1,R
Junior Data Engineer,Satelligence,"Design, Design, Python, Python, Django, Django",💰 Upgrade to Premium to see salary,2026-01-27T16:00:11+00:00,Utrecht,Utrecht,Multiple locations,Other,"Django, Go, Python",3,Django | Go | Python
Sr Staff AI Engineer,BNSF Railway,"Other, Other, Design, Design, AI, AI",💰 $160k - $300k,2026-01-27T15:44:15+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Data Science,R,1,R
Crypto Trading Trainee Market Analysis Associate,WhiteBridge-Ltd,"Finance, Finance, Crypto, Crypto, Edu, Edu",💰 $70k - $90k,2026-01-20T09:48:22+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Data Science,R,1,R
Customer Success Specialist,Smarsh,"SaaS, SaaS, Training, Training, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T06:00:01+00:00,Portland,Portland,Multiple locations,Data Science,R,1,R
Bookkeeper Tax Preparer,Distro,"Bookkeeping, Bookkeeping, Microsoft, Microsoft",💰 Upgrade to Premium to see salary,2026-01-27T05:00:02+00:00,"Barranquilla, Atlántico","Barranquilla, Atlántico",Multiple locations,Other,R,1,R
Senior Software Engineer Analytics Front Office,DRW,"Software, Software, Senior, Senior, Analytics, Analytics",💰 Upgrade to Premium to see salary,2026-01-27T04:00:07+00:00,"Chicago, Greenwich, New York","Chicago, Greenwich, New York",Multiple locations,Data Analysis,R,1,R
Data Analyst Media Relations,Global Fishing Watch,"Analyst, Analyst, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T03:00:52+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,R,1,R
Regional Customer Support Specialist,Natera,"Security, Security, Training, Training, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T03:00:06+00:00,US Remote,Us,Remote,Data Science,R,1,R
Member of Information & Security,Anchorage Digital,"Security, Security, Crypto, Crypto, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T01:00:11+00:00,United States,United States,Multiple locations,Other,R,1,R
Job 27120 Senior Kotlin Java Developer Brazil,CI&T,"Developer, Developer, Docker, Docker, Code, Code",💰 Upgrade to Premium to see salary,2026-01-27T00:05:57+00:00,"Campinas, SP","Campinas, SP",Multiple locations,Software Development,"Docker, R",2,Docker | R
Inside Sales Specialist,Ajax Systems,"Security, Security, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:05:50+00:00,Johannesburg,Johannesburg,Multiple locations,Sales,R,1,R
Enterprise Account Executive,MariaDB plc,"Technical, Technical, Software, Software, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-27T00:05:42+00:00,Remote - US,Us,Remote,Sales,R,1,R
FISMA FedRAMP Senior Consultant,A-LIGN External,"Consultant, Consultant, Security, Security, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T00:05:34+00:00,United States,United States,Multiple locations,Other,R,1,R
Senior Solution Architect GSI,Veeam Software,"Architect, Architect, Developer, Developer, Leader, Leader",💰 Upgrade to Premium to see salary,2026-01-27T00:05:26+00:00,"Remote, United States",United States,Remote,Software Development,R,1,R
ML AI Ops Engineer,Veeam Software,"Developer, Developer, Leader, Leader, Go, Go",💰 Upgrade to Premium to see salary,2026-01-27T00:05:18+00:00,Costa Rica,Costa Rica,Multiple locations,Data Science,"Go, R",2,Go | R
Job 27166 AI Platform Architect Colombia,CI&T,"Architect, Architect, Director, Director, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-27T00:05:11+00:00,Colombia,Colombia,Multiple locations,Data Science,R,1,R
Senior Data Science Engineer,Veeam Software,"Developer, Developer, Leader, Leader, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-27T00:05:04+00:00,Costa Rica,Costa Rica,Multiple locations,Data Science,R,1,R
Pre Sales Engineer,Ajax Systems,"System, System, Security, Security, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T00:04:56+00:00,Istanbul,Istanbul,Multiple locations,Sales,R,1,R
Assistant Video Game Partnerships,Allied Global Marketing,"Game, Game, Assistant, Assistant, Gaming, Gaming",💰 Upgrade to Premium to see salary,2026-01-27T00:04:49+00:00,Los Angeles,Los Angeles,Multiple locations,Other,None identified,0,
Regional Sales Director,BridgeBio Pharma,"Director, Director, Financial, Financial, Leader, Leader",💰 Upgrade to Premium to see salary,2026-01-27T00:04:41+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,R,1,R
Salesforce Platform Lead,Foundation Risk Partners,"Salesforce, Salesforce, Consulting, Consulting, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T00:04:32+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Power BI Specialist,Long View Systems,"Design, Design, Technical, Technical, Recruiter, Recruiter",💰 Upgrade to Premium to see salary,2026-01-27T00:04:23+00:00,Remote Opportunities - Canada,Canada,Remote Opportunities,Data Analysis,R,1,R
Lead Salesforce Data Cloud Architect,Bounteous,"Salesforce, Salesforce, Architect, Architect, Security, Security",💰 Upgrade to Premium to see salary,2026-01-27T00:04:16+00:00,Canada,Canada,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Data Engineering Intern,RefinedScience,"Python, Python, Students, Students, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:04:09+00:00,Remote,Remote,Remote,Support,"Python, R",2,Python | R
Staff Security Engineer Proactive Security,DoorDash USA,"Security, Security, System, System, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:04:00+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Job 27166 AI Platform Architect Brazil,CI&T,"Architect, Architect, Support, Support, Director, Director",💰 Upgrade to Premium to see salary,2026-01-27T00:03:51+00:00,Brazil,Brazil,Multiple locations,Data Science,R,1,R
IT Support Technician LATAM,Deel,"HR, HR, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:03:44+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Robotic Sales Representative Japan,PROCEPT BioRobotics,"System, System, Training, Training, Ceo, Ceo",💰 Upgrade to Premium to see salary,2026-01-27T00:03:37+00:00,Japan,Japan,Multiple locations,Data Science,R,1,R
AI Game Tech Technical Director,Skydance,"Game, Game, Director, Director, Security, Security",💰 Upgrade to Premium to see salary,2026-01-27T00:03:30+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
AI Training Experts Gdańsk,Prolific,"Training, Training, Test, Test",💰 Upgrade to Premium to see salary,2026-01-27T00:03:23+00:00,Gdańsk,Gdańsk,Multiple locations,Data Science,R,1,R
Senior Manager GTM Analytics and AI,Cority,"Manager, Manager, Design, Design, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-27T00:03:14+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,R,1,R
Business Development Representative,ABBYY,"Growth, Growth, Marketing, Marketing",💰 Upgrade to Premium to see salary,2026-01-27T00:03:08+00:00,United States,United States,Multiple locations,Marketing,R,1,R
Enterprise Account Management Director,Shift4,"Director, Director, Fintech, Fintech, Leader, Leader",💰 Upgrade to Premium to see salary,2026-01-27T00:03:00+00:00,Tampa,Tampa,Multiple locations,Other,R,1,R
Senior Product Manager AI Solutions,Agiloft,"Manager, Manager, Support, Support, Code, Code",💰 Upgrade to Premium to see salary,2026-01-27T00:02:51+00:00,United States,United States,Multiple locations,Data Science,R,1,R
Product Manager,Kunai,"Manager, Manager, Full-Stack, Full-Stack, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:02:45+00:00,United States,United States,Multiple locations,Support,R,1,R
Business Operations Manager,"Unlock Technologies, Inc.","Manager, Manager, Design, Design, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-27T00:02:37+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Staff Systems Engineer Low Latency & Networking,Jito Labs,"Technical, Technical, C, C, C++, C++",💰 Upgrade to Premium to see salary,2026-01-27T00:02:28+00:00,USA,Usa,Multiple locations,Other,C++,1,C++
Software Developer Intern,RefinedScience,"Developer, Developer, Software, Software, System, System",💰 Upgrade to Premium to see salary,2026-01-27T00:02:21+00:00,Remote,Remote,Remote,Software Development,R,1,R
Senior Project Manager Delivery,Euclid Power,"Manager, Manager, System, System, Content, Content",💰 Upgrade to Premium to see salary,2026-01-27T00:02:12+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Project Management,R,1,R
Computational Biologist,BIO,"Python, Python, Technical, Technical, Software, Software",💰 Upgrade to Premium to see salary,2026-01-27T00:02:03+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,"Python, R",2,Python | R
Senior Machine Learning Engineer,Greenhouse,"Support, Support, Software, Software, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-27T00:01:58+00:00,Anywhere in the United States,United States,Anywhere in the,Data Science,R,1,R
Lead Account Executive Enterprise Sales,Veeam Software,"Developer, Developer, Leader, Leader, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-27T00:01:48+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Modern Workplace Collaboration Consultant,Planet Technologies,"Consultant, Consultant, Design, Design, Consulting, Consulting",💰 Upgrade to Premium to see salary,2026-01-27T00:01:40+00:00,Eastern US - Remote,Us,Eastern US,Other,None identified,0,
Account Manager,ABBYY,"Manager, Manager, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-27T00:01:32+00:00,"Remote, United States",United States,Remote,Other,R,1,R
Senior Forecasting Analyst,InStride Health,"Analyst, Analyst, System, System, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-27T00:01:23+00:00,"Remote, US",Us,Remote,Other,R,1,R
Data Scientist,Arbol,"Back-End, Back-End, Python, Python, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:01:14+00:00,"New York City, New York","New York City, New York",Multiple locations,Data Science,"Python, R",2,Python | R
Senior Data Scientist,Raya,"Python, Python, Technical, Technical, Testing, Testing",💰 Upgrade to Premium to see salary,2026-01-27T00:01:02+00:00,Remote,Remote,Remote,Data Science,Python,1,Python
Insurance Analytics Associate,Zensurance,"Training, Training, Writer, Writer, Support, Support",💰 Upgrade to Premium to see salary,2026-01-27T00:00:52+00:00,"Toronto, ON","Toronto, ON",Multiple locations,Data Analysis,R,1,R
Data Analyst,Splash Financial,"Analyst, Analyst, Finance, Finance, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-27T00:00:38+00:00,Remote - UNITED STATES ONLY,United States,Remote,Data Analysis,None identified,0,
Telehealth Therapist Hawaii,FOLX Health,"Training, Training, Support, Support, Video, Video",💰 Upgrade to Premium to see salary,2026-01-27T00:00:29+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Technical Project Manager,Game Plan Tech,"Game Developer, Game Developer, Manager, Manager, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-27T00:00:04+00:00,Remote USA,Usa,Remote,Software Development,R,1,R
Staff Software Engineer,The Farmer's Dog,"Software, Software, Support, Support, Health, Health",💰 Upgrade to Premium to see salary,2026-01-26T23:00:02+00:00,New York,New York,Multiple locations,Software Development,R,1,R
Program Manager 4DX,MARA,"Manager, Manager, Leader, Leader, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-26T22:00:11+00:00,"Miami, Florida","Miami, Florida",Multiple locations,Other,R,1,R
Senior Manager Social,WPP Media,"Manager, Manager, Growth, Growth, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-26T21:00:03+00:00,Gurgaon,Gurgaon,Multiple locations,Other,R,1,R
Staff Platform Security Engineer Office of the CISO,Obsidian Security,"InfoSec, InfoSec, Security, Security, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-26T18:00:07+00:00,"Palo Alto, CA","Palo Alto, CA",Multiple locations,Other,R,1,R
Manager End User Computing,Precision Medicine Group,"Manager, Manager, Design, Design, HR, HR",💰 Upgrade to Premium to see salary,2026-01-26T16:00:40+00:00,"Remote, United States",United States,Remote,Other,R,1,R
Support Engineer,Blue Cube Services,"Grafana, Grafana, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-26T16:00:23+00:00,Philippines,Philippines,Multiple locations,Support,R,1,R
Financial Analyst,Element Critical,"Analyst, Analyst, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-26T09:00:34+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Finance,None identified,0,
Software Engineer Manager Marketing,BitMEX,"Software, Software, Manager, Manager, Crypto, Crypto",💰 Upgrade to Premium to see salary,2026-01-26T09:00:25+00:00,Asia,Asia,Multiple locations,Software Development,R,1,R
Senior Platform Engineer Postgres Specialist,Tiger Data,"Cloud, Cloud, PostgreSQL, PostgreSQL, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-26T08:00:38+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,"Postgresql, R, Sql",3,Postgresql | R | Sql
Data Partnerships,Clay Labs,"SaaS, SaaS, Technical, Technical, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-26T08:00:31+00:00,New York,New York,Multiple locations,Other,R,1,R
Senior Sales Engineer APAC,Alpaca,"Crypto, Crypto, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-26T08:00:14+00:00,APAC,APAC,Multiple locations,Sales,R,1,R
Account Manager,Ergeon,"Manager, Manager, Sales, Sales, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-26T08:00:03+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,R,1,R
Senior Marketing Manager Paid Ads,Acebet.com,"Marketing, Marketing",💰 $200k - $500k,2026-01-18T19:11:43+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Data Science,R,1,R
Fullstack Engineer Education,xAI,"System, System, Support, Support, Edu, Edu",💰 Upgrade to Premium to see salary,2026-01-25T16:00:07+00:00,"Palo Alto, CA","Palo Alto, CA",Multiple locations,Support,R,1,R
Customer Service Assistant,Best Estimate Pro,"Customer Support, Customer Support",💰 $90k - $140k,2026-01-25T12:48:07+00:00,🇺🇸 United States,United States,🇺🇸,Support,R,1,R
Technical Support Engineer,Swayable,"Python, Python, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-25T02:00:03+00:00,SF,SF,Multiple locations,Support,"Python, R",2,Python | R
Senior Engineering Manager Data Engineering,Engine,"Manager, Manager, Support, Support, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-25T00:00:29+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Business Development Representative,Jobscan,"SaaS, SaaS, Support, Support, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-25T00:00:18+00:00,"Mexico City, Mexico",Mexico,Mexico City,Sales,R,1,R
Senior Amazon Brand Manager,GNO Partners,"Marketing, Marketing, Sales, Sales",💰 $220k - $300k,2026-01-25T00:00:04+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Marketing,R,1,R
Senior Backend Engineer Infrastructure,ClickHouse,"Technical, Technical, Growth, Growth, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-24T21:00:05+00:00,Canada,Canada,Multiple locations,Software Development,R,1,R
Manager of Storage Services,Lightedge,"Manager, Manager, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-24T16:00:12+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Engineering Manager API,Runway,"Manager, Manager, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-24T13:00:04+00:00,Remote,Remote,Remote,Support,R,1,R
Channel Account Manager HVAC Northeast,Palmetto Clean Technology,"Manager, Manager, Training, Training, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-24T08:00:28+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Video Editor,Circle.so,"Design, Design, UI, UI, Video, Video",💰 Upgrade to Premium to see salary,2026-01-24T08:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,None identified,0,
X Memes and Headline Commentary Tutor,xAI,"Tutor, Tutor, Training, Training, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-24T06:00:04+00:00,"Palo Alto, CA","Palo Alto, CA",Multiple locations,Data Science,R,1,R
Solutions Engineering Channel,Geotab,"Leader, Leader, Operations, Operations, Analytics, Analytics",💰 Upgrade to Premium to see salary,2026-01-24T01:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,R,1,R
Job 27144 Mid Level Fullstack Developer Brazil,CI&T,"Developer, Developer, Design, Design, Jira, Jira",💰 Upgrade to Premium to see salary,2026-01-24T00:02:50+00:00,Brazil,Brazil,Multiple locations,Software Development,"Jira, R",2,Jira | R
Job 27039 Senior Product Owner Brazil,CI&T,"Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-24T00:02:43+00:00,Brazil,Brazil,Multiple locations,Product Management,R,1,R
Senior Specialist Healthcare Data Analytics & Visualization,Interwell Health,"Support, Support, Analyst, Analyst, Management, Management",💰 Upgrade to Premium to see salary,2026-01-24T00:02:34+00:00,"Remote, United States",United States,Remote,Data Analysis,R,1,R
Copilot & Power Platform Architect,Nimble Gravity,"Architect, Architect, Design, Design, Embedded, Embedded",💰 Upgrade to Premium to see salary,2026-01-24T00:02:24+00:00,LATAM,LATAM,Multiple locations,Other,R,1,R
Manager Parcel Operations,ShipMonk,"Manager, Manager, Support, Support, Operations, Operations",💰 Upgrade to Premium to see salary,2026-01-24T00:02:14+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
